地铁口 精装 全明通透 高得房率 南北双阳台 换房急售 2室2厅 | 90.76㎡ | 低层 （共11层） | 东南向 | 2009年建 | 孔倩 大地伊丽雅特湾 迈皋桥-和燕路329号 满五 优质教育 距1号线晓庄站约933米 185 万 20383元/㎡
特价 仙鹤门苏宁紫金嘉悦1室0厅 双重验真 官方发布 房天下房源字典核验 1室0厅 | 31㎡ | 低层 （共6层） | 西向 | 2015年建 | 孟全 苏宁紫金嘉悦公寓 仙鹤门-玄武大道699-1号 满五 31 万 10000元/㎡ 低于市场价16万
特价 仙鹤门 · 苏宁紫金嘉悦 · 1室 · 2厅 双重验真 官方发布 房天下房源字典核验 1室2厅 | 57.23㎡ | 高层 （共7层） | 西向 | 2018年建 | 孟全 苏宁紫金嘉悦公寓 仙鹤门-玄武大道699-1号 满五 57 万 9959元/㎡ 低于市场价27万
人气 复地御钟山 精装修三房 诚心出售 一楼带院子 3室1厅 | 244.12㎡ | 底层 （共7层） | 南北向 | 2015年建 | 张磊 复地御钟山 马群-马群街道2号 满二 优质教育 距2号线马群站约479米 1000 万 40963元/㎡
特价 热搜 仙林大学城南外旁招商语山 精装修满两年看房方便 双重验真 官方发布 房天下房源字典核验 3室2厅 | 108.47㎡ | 中层 （共6层） | 南北向 | 2017年建 | 孟全 世茂招商语山 仙鹤门-世茂招商语山 满五 距2号线金马路站约730米 349 万 32174元/㎡ 低于市场价13万
热搜 人气 小区中间位置 中垠紫金观邸 精装修 有钥匙 甩卖价 急急急 3室2厅 | 88㎡ | 高层 （共14层） | 南北向 | 2017年建 | 张磊 中垠紫金观邸 马群-马群环陵路99号(马群综合换乘中心) 满二 距2号线马群站约365米 213 万 24204元/㎡
人气 政策在变,服务不变,好房不等人,如若心动不如行动 3室1厅 | 108.27㎡ | 高层 （共33层） | 南向 | 2000年建 | 邓婷婷 华侨城翡翠天域 栖霞-工农路与疏港大道交汇处 满五 169 万 15609元/㎡
新特价房89平,245W起板块小户型仙林湖泷悦雅颂 3室2厅 | 113㎡ | 低层 （共26层） | 南向 | 2024年建 | 陈群芳 泷悦雅颂 仙林湖-东至现状,南至现状,西至白象路,北至广志路 距4号线仙林湖站约232米 296 万 26194元/㎡
人气 天泓山庄 一楼带南北80平院子 洋房设计 精装 业主 3室2厅 | 150㎡ | 底层 （共4层） | 南北向 | 2005年建 | 易功瑞 天泓山庄 马群-环陵路1号 满五 满五唯一 优质教育 距2号线马群站约886米 410 万 27333元/㎡
迈皋桥 星叶瑜憬湾 精致住宅,诚意出售 精装修 3室1厅 | 102.06㎡ | 低层 （共20层） | 南向 | 2016年建 | 钱俊马 星叶瑜憬湾 迈皋桥-迈皋桥大街网板路8号(网板路与电建路交汇) 245 万 24005元/㎡
特价 仙林 · 东方天郡西区 · 2室 · 2厅 双重验真 官方发布 房天下房源字典核验 2室2厅 | 77.29㎡ | 中层 （共18层） | 南北向 | 2008年建 | 孟全 东方天郡 仙林-仙林大学城杉湖西路8号 满五 优质教育 距2号线学则路站约582米 239 万 30922元/㎡ 低于市场价30万
满二年 开发商精装修 人车分流 出行便利 3室1厅 | 88.66㎡ | 底层 （共18层） | 南北向 | 2018年建 | 邓婷婷 融信世纪东方 仙林-经天路与广志路交汇处(南京大学仙林分校旁) 满二 距2号线经天路站约1057米 230 万 25941元/㎡
建邺奥南鲁能公馆精装三大件业主诚心出售 3室2厅 | 108.16㎡ | 高层 （共32层） | 南向 | 2018年建 | 陈小丽 栖霞鲁能公馆 尧化-新城路和翠林北路交汇处 满二 距7号线尧化门站约844米 390 万 36057元/㎡
地铁口 科技宅 精装全明 高得房率 南北通透 换房 4室2厅 | 167.91㎡ | 中层 （共33层） | 南北向 | 2021年建 | 孔倩 保利朗诗蔚蓝 迈皋桥-保利朗诗蔚蓝 满二 距1号线晓庄站约582米 505 万 30075元/㎡
来电详谈折扣!栖霞兴智 6号线地铁口100米精装三房 3室2厅 | 89㎡ | 中层 （共26层） | 南北向 | 2020年建 | 段海伦 苏宁世茂·璀璨云著 栖霞-兴智科创新城兴智路与恒久路交汇处 满二 170 万 19101元/㎡
万寿 东方兰园西区精装修大3房 业主急售性价比高 3室2厅 | 105.15㎡ | 中层 （共33层） | 南北向 | 2017年建 | 钱俊马 东方兰园 迈皋桥-经五路6号(经五路与迈化路交汇处) 距7号线万寿站约464米 243 万 23109元/㎡
特价 中海燕叽听潮中楼层采光好三房二卫拎包入住满二不临街 4室1厅 | 128.02㎡ | 中层 （共33层） | 南北向 | 2000年建 | 王彩丽 中海燕矶听潮 燕子矶-燕子矶新城经五路与太新路交汇处 满五 距1号线笆斗山站约1061米 352 万 27495元/㎡ 低于市场价38万
特价 人气 中海燕矶听潮 106.96平3居 南向精装修 视野无遮挡 3室2厅 | 106.96㎡ | 中层 （共33层） | 南向 | 2019年建 | 黄朋飞 中海燕矶听潮 燕子矶-燕子矶新城经五路与太新路交汇处 满二 距1号线笆斗山站约1061米 301 万 28141元/㎡ 低于市场价27万
地铁口 燕子矶风光带 精装 大四房 环优交便 配套齐全 4室2厅 | 152.23㎡ | 低层 （共11层） | 南北向 | 2022年建 | 孔倩 仁恒公园世纪 燕子矶-燕园路37号 满二 距1号线笆斗山站约634米 525 万 34487元/㎡
店长重点推荐!晓庄金浦御龙湾H区紧售!! 2室2厅 | 87.86㎡ | 高层 （共20层） | 南向 | 2000年建 | 凌晓伟 金浦御龙湾 迈皋桥-金浦御龙湾 满五 距1号线晓庄站约644米 228 万 25950元/㎡
热搜 人气 新特价金浦御龙湾 城北正核 配套成熟 晓庄口 性价比 3室2厅 | 87㎡ | 低层 （共26层） | 南北向 | 2023年建 | 李小朋 金浦御龙湾 迈皋桥-金浦御龙湾 距1号线晓庄站约644米 193 万 22183元/㎡
人气 金地湖城艺境南北通3房,满五年,诚心出售 3室1厅 | 97.16㎡ | 中层 （共27层） | 南北向 | 2000年建 | 邓婷婷 金地湖城艺境 仙林-栖霞守敬路与纬地路交汇口 满五 优质教育 215 万 22128元/㎡
在寂静中品味,在喧闹中生活,此房安闲舒适,是您绝佳的选择! 3室2厅 | 121.73㎡ | 中层 （共17层） | 南向 | 2000年建 | 夏菊 佳兆业燕然居 燕子矶-观音门街2号 满五 408 万 33516元/㎡
价可谈 幸福里纯毛坯 好楼层未入住 88平方3房 3室2厅 | 88㎡ | 顶层 （共26层） | 南北向 | 吴彩娣 华润幸福里 尧化-尧化街道前塘路9号(翠林北路与前塘路交汇处) 满五 距7号线仙新路站约636米 148 万 16818元/㎡
天悦花园 距离站近 客厅带阳台 通透性好 2室2厅 | 87.44㎡ | 中层 （共5层） | 南向 | 2018年建 | 易功瑞 天悦花园 马群-马群新街89-1号 满五 满五唯一 优质教育 距2号线马群站约504米 140 万 16010元/㎡
热搜 人气 迈皋桥 地铁口 金浦御龙湾F 楼栋优 交通便利 业主诚心 3室2厅 | 88.84㎡ | 高层 （共33层） | 南北向 | 2018年建 | 钱俊马 金浦御龙湾 迈皋桥-金浦御龙湾 距1号线晓庄站约644米 205 万 23075元/㎡
特价 人气 保利国际社区精装修不需要华丽的词汇,好房子一看就知道了 3室2厅 | 115.06㎡ | 中层 （共33层） | 南向 | 2018年建 | 夏菊 保利国际社区 燕子矶-燕子矶街道太新路与燕园路交汇处 满五 距1号线笆斗山站约506米 285 万 24769元/㎡ 低于市场价43万
热搜 人气 115.01平标准,小窝照样温馨! 3室2厅 | 115.01㎡ | 中层 （共20层） | 东北向 | 2000年建 | 夏菊 金浦御龙湾 迈皋桥-金浦御龙湾 满五 距1号线晓庄站约644米 275 万 23910元/㎡
人气 华侨城翡翠天域麓园,业主挥泪 跳楼价 机不可失! 3室2厅 | 115㎡ | 中层 （共11层） | 南北向 | 2019年建 | 邓婷婷 华侨城翡翠天域 栖霞-工农路与疏港大道交汇处 满二 165 万 14347元/㎡
来电咨询折扣!栖霞兴智6号线地铁口精装三房 都会峯范 3室2厅 | 110㎡ | 中层 （共25层） | 南北向 | 2023年建 | 戚亮辉 金地都会峯范 万寿-金地都会峯范 220 万 20000元/㎡
特价 仙林 · 学仕风华苑 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 90.49㎡ | 顶层 （共6层） | 南向 | 2009年建 | 孟全 仙林诚品城 仙林-仙境路29号 满五 135 万 14918元/㎡ 低于市场价47万
人气 天泓山庄 云山苑 精装修三房 位置佳 采光好 随时看 3室2厅 | 142.26㎡ | 中层 （共17层） | 南向 | 2018年建 | 张磊 天泓山庄 马群-环陵路1号 满二 优质教育 距2号线马群站约886米 366 万 25727元/㎡
人气 新房开发商工抵房紫金山东 天泓山庄云山苑 未入住,新房 3室2厅 | 147㎡ | 中层 （共17层） | 南向 | 2018年建 | 肖斌 天泓山庄 马群-环陵路1号 满二 优质教育 距2号线马群站约886米 350 万 23809元/㎡
银河湾底跃豪华装修 165平5室2厅2卫 高端适合人口多家庭 5室2厅 | 165.4㎡ | 底层 （共6层） | 南向 | 吴彩娣 银河湾卓苑 尧化-尧佳路与公园东路交汇处 满五 优质教育 距7号线尧化新村站约733米 280 万 16928元/㎡
哇塞,这么好的房子,雍锦逸境府打着灯笼都找不到的 3室2厅 | 84㎡ | 中层 （共11层） | 南北向 | 2022年建 | 王彩丽 蓝光雍锦逸境府 栖霞-南京市栖霞区工农路158号 129 万 15357元/㎡
特价 人气 报价可谈!燕子矶晓庄站旁,万科燕语光年,开发商精装修 3室2厅 | 107.44㎡ | 中层 （共32层） | 南向 | 2018年建 | 姜成 万科·燕语光年 迈皋桥-栖霞大道与燕园路交汇处 满二 350 万 32576元/㎡ 低于市场价18万
(刚需必选} 内部房源 南京主城栖霞 双地铁口 价格可谈 3室2厅 | 89㎡ | 中层 （共26层） | 南北向 | 2020年建 | 纪泽远 苏宁世茂·璀璨云著 栖霞-兴智科创新城兴智路与恒久路交汇处 满二 175 万 19662元/㎡
人气 众理寻它千百渡 蓦然回首就在眼前处 3室2厅 | 90.93㎡ | 高层 （共33层） | 南向 | 2000年建 | 黄朋飞 保利国际社区 燕子矶-燕子矶街道太新路与燕园路交汇处 满五 距1号线笆斗山站约506米 230 万 25294元/㎡
洋房2号线开发商精装带地暖业主诚售 3室2厅 | 86.85㎡ | 底层 （共9层） | 南向 | 2018年建 | 邓婷婷 融信世纪东方 仙林-经天路与广志路交汇处(南京大学仙林分校旁) 满二 距2号线经天路站约1057米 234 万 26943元/㎡
特价 紫金山下 三恒系统 帕多瓦大三房 保养好 有车位 看房方便 双重验真 官方发布 房天下房源字典核验 3室2厅 | 164.38㎡ | 低层 （共6层） | 南北向 | 2011年建 | 孟全 朗诗钟山绿郡 仙鹤门-仙林大道与凯旋路交叉口 满五 优质教育 距2号线仙鹤门站约424米 610 万 37109元/㎡ 低于市场价148万
来电咨询折扣!燕子矶新核 一号线晓庄地铁站100米 精装交付 3室2厅 | 99㎡ | 中层 （共23层） | 南向 | 2023年建 | 段海伦 保利·国贸璟上 迈皋桥-南京市栖霞区和燕路与宜春街交汇处 推荐新房 距1号线晓庄站约769米 298 万 30101元/㎡
政策已经至此 ,房价逐渐回升, 观望后悔莫及! 3室2厅 | 140.03㎡ | 高层 （共17层） | 南向 | 2000年建 | 黄朋飞 宝能·滨江府 燕子矶-燕子矶新城滨江商务区 满五 距1号线笆斗山站约384米 530 万 37849元/㎡
地铁口 边户精装 全明通透 高得房率 换房降价急售急售 3室2厅 | 114.97㎡ | 中层 （共20层） | 南向 | 2020年建 | 孔倩 金科博翠花园 燕子矶-燕春路26号 满二 332 万 28877元/㎡
超大天然氧吧金地湖城艺境重金打造 2室2厅 | 86.98㎡ | 低层 （共27层） | 南向 | 2000年建 | 邓婷婷 金地湖城艺境 仙林-栖霞守敬路与纬地路交汇口 满五 优质教育 198 万 22763元/㎡
特价 保利紫晶山南外旁 纯毛坯价前后院 有钥匙诚售 双重验真 官方发布 房天下房源字典核验 4室2厅 | 240.71㎡ | 底层 （共6层） | 南北向 | 2012年建 | 孟全 保利紫晶山 仙鹤门-栖霞区马群大庄6号 满五 优质教育 距2号线仙鹤门站约444米 580 万 24095元/㎡ 低于市场价233万
人气 高科荣境 1楼带院子 急售 精装修 全小区的一套 3室2厅 | 92.44㎡ | 底层 （共11层） | 南向 | 2000年建 | 邓婷婷 高科荣境 仙林-守敬路313号(仙林大道与经天路交汇处) 满五 优质教育 距2号线经天路站约819米 308 万 33318元/㎡
特价 仙林 · 亚东城东区 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 122.32㎡ | 高层 （共13层） | 南向 | 2007年建 | 孟全 亚东城 仙鹤门-栖霞区仙隐北路18号 满五 距2号线仙鹤门站约770米 320 万 26160元/㎡ 低于市场价38万
房子是南北通户型,毛坯的可以任意装修的,诚意出售。 3室2厅 | 87.79㎡ | 中层 （共30层） | 南北向 | 2020年建 | 孔倩 电建地产海赋尚城 晓庄-燕子矶街道经五路与神农路交汇处 满二 176 万 20047元/㎡
特价 近学则路生活便利 亚东城大面积朝南单室套诚卖自住装修随时看房 双重验真 官方发布 房天下房源字典核验 1室1厅 | 61.98㎡ | 低层 （共17层） | 南向 | 2009年建 | 孟全 亚东城 仙鹤门-栖霞区仙隐北路18号 满五 距2号线仙鹤门站约770米 140 万 22587元/㎡ 低于市场价41万
特价 仙林湖 · 南大和园 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 129.57㎡ | 低层 （共6层） | 南向 | 2009年建 | 余莉莉 南大和园 仙林-南京栖霞区仙林大道168号 满五 优质教育 距2号线南大仙林校区站约325米 425 万 32800元/㎡ 低于市场价90万
人气 华侨城翡翠天域麓园,业主挥泪 跳楼价 机不可失! 3室2厅 | 118㎡ | 中层 （共11层） | 南北向 | 2019年建 | 李小朋 华侨城翡翠天域 栖霞-工农路与疏港大道交汇处 满二 157 万 13305元/㎡
特价 房东诚心出售、小区中心位置、明厨明卫、楼层低 双重验真 官方发布 房天下房源字典核验 1室1厅 | 48.2㎡ | 低层 （共11层） | 北向 | 2009年建 | 孟全 亚东城 仙鹤门-栖霞区仙隐北路18号 满五 距2号线仙鹤门站约770米 125 万 25933元/㎡ 低于市场价5万
仙林地铁口,精装现房,看房预约,免费领取资料包 3室2厅 | 89㎡ | 低层 （共18层） | 南北向 | 2023年建 | 段伟成 泷悦雅颂 仙林湖-东至现状,南至现状,西至白象路,北至广志路 距4号线仙林湖站约232米 220 万 24719元/㎡
花园洋房 全明通透 高得房率 大平层 换房急售 急售 4室2厅 | 139.86㎡ | 中层 （共7层） | 南北向 | 2020年建 | 孔倩 大地伊丽雅特湾 迈皋桥-和燕路329号 满二 优质教育 距1号线晓庄站约933米 312 万 22308元/㎡
东家换房急售!拎包入住全配!这么低的价格你还忍得住? 3室1厅 | 89.07㎡ | 中层 （共27层） | 南北向 | 2000年建 | 黄朋飞 依云和府 迈皋桥-燕子矶新城太新路与钟燕东路交汇处 满五 距7号线万寿站约288米 219 万 24587元/㎡
特价 保利紫晶山,东边户,大四房,看房方便 双重验真 官方发布 房天下房源字典核验 4室2厅 | 190.87㎡ | 低层 （共6层） | 南北向 | 2010年建 | 孟全 保利紫晶山 仙鹤门-栖霞区马群大庄6号 满二 优质教育 距2号线仙鹤门站约444米 565 万 29601元/㎡ 低于市场价156万
人气 仙林湖总价115万 华侨城 欢乐谷 精装3房 花园洋房 现房 3室2厅 | 89㎡ | 中层 （共33层） | 南北向 | 2018年建 | 李小朋 华侨城翡翠天域 栖霞-工农路与疏港大道交汇处 推荐新房 满五 115 万 12921元/㎡
特价 仙林 · 中天铭廷 · 4室 · 2厅 双重验真 官方发布 房天下房源字典核验 4室2厅 | 126.08㎡ | 低层 （共18层） | 南向 | 2015年建 | 余莉莉 中天铭廷 仙林-文成路3号(学海路和文成路交汇处) 满二 339 万 26887元/㎡ 低于市场价37万
花园洋房 复式 顶跃 高得房率 全明通透 换房急售急售 5室2厅 | 132.43㎡ | 高层 （共7层） | 南北向 | 2020年建 | 孔倩 金浦御龙湾 迈皋桥-金浦御龙湾 满二 距1号线晓庄站约644米 489 万 36925元/㎡
南京兴智新生圩宝龙广场 精装修三房89平 2室2厅 | 80㎡ | 低层 （共26层） | 南向 | 吴苑 新生圩宝龙广场 栖霞-南京市栖霞区仙新路与恒发路交汇处 距7号线仙新路站约1055米 150 万 18750元/㎡
特价 仙鹤门 · 紫金上林苑 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 独栋 | 卧室：3个 | 无花园 | 135㎡ | 南向 | 余莉莉 紫金上林苑别墅 仙鹤门-金马路16号 满五 距2号线金马路站约845米 345 万 25555元/㎡ 低于市场价112万
招商紫金山1号 紫金尚园 中高楼层 精装修 南北通透 业主诚 4室3厅 | 207.43㎡ | 中层 （共10层） | 南北向 | 2015年建 | 张磊 招商紫金山1号 马群-环陵路99号 满二 优质教育 距2号线马群站约109米 660 万 31817元/㎡
热搜 人气 好户型好地段好价格,全赶上了,还不快点! 3室1厅 | 109.24㎡ | 低层 （共21层） | 南向 | 2000年建 | 凌晓伟 金浦御龙湾 迈皋桥-金浦御龙湾 满五 距1号线晓庄站约644米 285 万 26089元/㎡
零首付买南京主城栖霞6.7号线 双地铁口 精装三房 市区 3室2厅 | 89㎡ | 中层 （共26层） | 南北向 | 2020年建 | 李小朋 苏宁世茂·璀璨云著 栖霞-兴智科创新城兴智路与恒久路交汇处 169 万 18988元/㎡
便宜只是一方面,房子户型好位置好才是硬道理,超值!快快吧! 4室2厅 | 140.56㎡ | 底层 （共11层） | 南北向 | 2000年建 | 邓婷婷 高科荣境 仙林-守敬路313号(仙林大道与经天路交汇处) 满五 优质教育 距2号线经天路站约819米 530 万 37706元/㎡
特价 仙林 · 鸿运嘉园 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 128.11㎡ | 低层 （共11层） | 南北向 | 2011年建 | 孟全 鸿雁名居 仙林-学海路28号 满二 278 万 21700元/㎡ 低于市场价44万
人气 新上6层洋房 书包房 金中金小金地湖城艺境 仙林地铁口急降 3室1厅 | 104.36㎡ | 高层 （共7层） | 南向 | 2000年建 | 邓婷婷 金地湖城艺境 仙林-栖霞守敬路与纬地路交汇口 满五 优质教育 280 万 26830元/㎡
特价 紫金山下 新上四房 纯毛坯 楼层位置好 看房提前约 双重验真 官方发布 房天下房源字典核验 4室2厅 | 189.76㎡ | 中层 （共6层） | 南北向 | 2010年建 | 李雪 保利紫晶山 仙鹤门-栖霞区马群大庄6号 满五 优质教育 距2号线仙鹤门站约444米 670 万 35307元/㎡ 低于市场价43万
好的房子才能产生好的心情有家有爱有温馨 让您享受生活 3室2厅 | 96㎡ | 低层 （共26层） | 南北向 | 2020年建 | 彭林林 锦麟融誉府 迈皋桥-北苑东路与熙湲路交汇处 距1号线晓庄站约1109米 290 万 30208元/㎡
特价 仙林湖 · 高科荣境二期 · 5室 · 2厅 双重验真 官方发布 房天下房源字典核验 5室2厅 | 178㎡ | 顶层 （共11层） | 南北向 | 2017年建 | 余莉莉 高科荣境 仙林-守敬路313号(仙林大道与经天路交汇处) 满二 优质教育 距2号线经天路站约819米 588 万 33033元/㎡ 低于市场价142万
天泓山庄精装顶跃 位置好 安静舒适 送100平露台 可看紫金 4室2厅 | 177.91㎡ | 高层 （共4层） | 南北向 | 2005年建 | 易功瑞 天泓山庄 马群-环陵路1号 满五 满五唯一 优质教育 距2号线马群站约886米 480 万 26979元/㎡
迈皋桥 近地铁 美达浅草明苑 宽敞明亮便利地段 3室1厅 | 113.3㎡ | 中层 （共6层） | 南北向 | 2006年建 | 钱俊马 美达浅草明苑 迈皋桥-营苑北路2号 215 万 18976元/㎡
主城栖霞 四号线仙林湖地铁口精装三房 泷悦雅颂 3室2厅 | 89㎡ | 中层 （共18层） | 南北向 | 2023年建 | 王彩丽 泷悦雅颂 仙林湖-东至现状,南至现状,西至白象路,北至广志路 距4号线仙林湖站约232米 245 万 27528元/㎡
特价 人气 仙林湖 · 新城香悦澜山 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 100.74㎡ | 高层 （共27层） | 南向 | 2018年建 | 余莉莉 新城香悦澜山 仙林-仙林经天路与纬地路交汇处 满五 优质教育 距2号线经天路站约1158米 250 万 24816元/㎡ 低于市场价24万
新特价房金中金小 2号线 4号线 万达茂 仙林 中式精装 3室2厅 | 118㎡ | 低层 （共18层） | 南北向 | 2023年建 | 姚丽丽 兰亭和颂 迈皋桥-兰亭和颂 距4号线仙林湖站约423米 315.6 万 26745元/㎡
锦麟融誉府 好房子,好机会只留给有准备的人! 3室2厅 | 95.41㎡ | 低层 （共26层） | 南北向 | 2000年建 | 夏菊 锦麟融誉府 迈皋桥-北苑东路与熙湲路交汇处 满五 距1号线晓庄站约1109米 288 万 30185元/㎡
城北主城口 金小金中书包 精装修智能家居 华润万象汇旁 3室2厅 | 97㎡ | 低层 （共28层） | 南向 | 2025年建 | 张长伟 苏宁世茂璀璨云著 栖霞-栖霞兴智科创新城兴智路与恒久路交汇处 203 万 20927元/㎡
特价 仙林 · 赛世香樟园 · 2室 · 2厅 双重验真 官方发布 房天下房源字典核验 2室2厅 | 90.89㎡ | 高层 （共18层） | 南北向 | 2008年建 | 张月红 香樟园 仙林-仙林街道杉湖路社区杉湖西路9号 满五 优质教育 距2号线学则路站约1050米 220 万 24205元/㎡ 低于市场价53万
特价 仙林湖 · 万达茂御湖仕家一期二期 · 2室 · 2厅 双重验真 官方发布 房天下房源字典核验 2室2厅 | 86㎡ | 低层 （共34层） | 南向 | 2017年建 | 孟全 万达茂 仙林-仙林大道与守敬路交汇处向东100米 满五 优质教育 距4号线仙林湖站约713米 155 万 18023元/㎡ 低于市场价58万
7号地铁高科东城世家 精装3房 150万左右可以谈 3室2厅 | 99.88㎡ | 高层 （共6层） | 南向 | 吴彩娣 高科东城世家 尧化-尧辰路3号 满五 优质教育 距7号线尧化门站约503米 160 万 16019元/㎡
尧林仙居2室1厅 80万可以谈 诚心卖 总价低 2室1厅 | 65.09㎡ | 高层 （共6层） | 南向 | 吴彩娣 尧林仙居 尧化-尧佳路23号 满五 优质教育 距7号线尧化门站约730米 80 万 12290元/㎡
热搜 人气 报价可谈!一号线迈皋桥站旁,金浦御龙湾,业主婚装 3室2厅 | 88.71㎡ | 低层 （共20层） | 南向 | 2018年建 | 姜成 金浦御龙湾 迈皋桥-金浦御龙湾 满二 距1号线晓庄站约644米 219 万 24687元/㎡
特价 仁恒公园世纪 104.18平3居 南北向精装修 自住保养好 3室2厅 | 104.18㎡ | 中层 （共11层） | 南北向 | 2021年建 | 黄朋飞 仁恒公园世纪 燕子矶-燕园路37号 满二 距1号线笆斗山站约634米 371 万 35611元/㎡ 低于市场价57万
地铁口上品苑4房2厅 150万左右可以出手 看房有钥匙 4室2厅 | 109.71㎡ | 顶层 （共25层） | 南向 | 吴彩娣 紫金上品苑 尧化-沪宁铁路与金尧路交汇处 满五 优质教育 距7号线仙新路站约519米 160 万 14583元/㎡
迈皋桥 地铁口 星叶瑜憬尚府精装大3房2卫业主换大户型急售 3室2厅 | 119.04㎡ | 高层 （共27层） | 南北向 | 2020年建 | 钱俊马 星叶瑜憬湾 迈皋桥-迈皋桥大街网板路8号(网板路与电建路交汇) 355 万 29821元/㎡
人气 迈皋桥 地铁口 青秀城 精装自住三房 业主诚心急售 3室2厅 | 88.99㎡ | 中层 （共33层） | 南向 | 2018年建 | 钱俊马 青秀城 迈皋桥-区迈尧路与经五路交汇处 (红太阳装饰城北门) 距7号线万寿站约533米 198 万 22249元/㎡
有故事的房子 花心思的家 2室1厅 | 82.23㎡ | 低层 （共11层） | 南向 | 2000年建 | 凌晓伟 大地伊丽雅特湾 迈皋桥-和燕路329号 满五 优质教育 距1号线晓庄站约933米 150 万 18241元/㎡
仙林 · 茶苑 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 81.96㎡ | 中层 （共5层） | 南北向 | 2005年建 | 孟全 仙林南师茶苑 仙林-仙林文苑路1号 满五 优质教育 218 万 26598元/㎡
人气 中海燕矶听潮 101.34平3居 南向精装修 拎包入住 3室2厅 | 101.34㎡ | 中层 （共33层） | 南向 | 2021年建 | 黄朋飞 中海燕矶听潮 燕子矶-燕子矶新城经五路与太新路交汇处 满二 距1号线笆斗山站约1061米 271 万 26741元/㎡
特价 热搜 人气 历史低谷 刚需 马群口 无税 有电梯 生活交通方便 3室2厅 | 89.9㎡ | 低层 （共15层） | 南北向 | 2018年建 | 张磊 中垠紫金观邸 马群-马群环陵路99号(马群综合换乘中心) 满二 距2号线马群站约365米 225 万 25027元/㎡ 低于市场价21万
栖霞区仙林仙林新村2室1厅户型方正南北通透交通方便周边配套齐 双重验真 官方发布 房天下房源字典核验 2室1厅 | 59.8㎡ | 高层 （共6层） | 南北向 | 1998年建 | 孟全 仙林新村 仙林-栖霞区文枢东路和学衡路交叉口向南100米 满五 优质教育 距2号线学则路站约833米 150 万 25083元/㎡
潜力林景瑞园只有一套,错过后悔! 3室2厅 | 119.62㎡ | 中层 （共11层） | 南北向 | 2000年建 | 凌晓伟 林景瑞园 迈皋桥-栖霞区和燕路319号 满五 优质教育 距1号线晓庄站约1001米 310 万 25915元/㎡
特价 仙林 · 鸿运嘉园 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 122.84㎡ | 高层 （共10层） | 南向 | 2011年建 | 孟全 鸿雁名居 仙林-学海路28号 满五 293 万 23852元/㎡ 低于市场价13万
复地御钟山三期 低密度洋房级大平层住宅 古典法式建筑 4室2厅 | 234㎡ | 中层 （共6层） | 南北向 | 2015年建 | 易功瑞 复地御钟山 马群-马群街道2号 满五唯一 满二 优质教育 距2号线马群站约479米 950 万 40598元/㎡
特价 仙林湖 · 保利罗兰春天 · 3室 · 2厅 双重验真 官方发布 房天下房源字典核验 3室2厅 | 88.3㎡ | 中层 （共26层） | 南北向 | 2015年建 | 张月红 保利罗兰春天 仙林-学森路199号 满五 优质教育 210 万 23782元/㎡ 低于市场价32万
紫金山下 口二号线 天悦花园 出行方便 配套齐全 2室1厅 | 64.68㎡ | 低层 （共6层） | 南北向 | 2018年建 | 张磊 天悦花园 马群-马群新街89-1号 满五 满五唯一 优质教育 距2号线马群站约504米 93 万 14378元/㎡
林景瑞园,多说无益,只有您亲自看了才是真的,不要再错过了 3室2厅 | 118.3㎡ | 中层 （共11层） | 南向 | 2000年建 | 凌晓伟 林景瑞园 迈皋桥-栖霞区和燕路319号 满五 优质教育 距1号线晓庄站约1001米 246 万 20794元/㎡
仁恒公园世纪精装修不需要华丽的词汇,好房子一看就知道了 3室2厅 | 104.18㎡ | 低层 （共11层） | 南北向 | 2018年建 | 凌晓伟 仁恒公园世纪 燕子矶-燕园路37号 满五 距1号线笆斗山站约634米 398 万 38203元/㎡
南北通透雁鸣山庄2室2厅精装修 双重验真 官方发布 房天下房源字典核验 2室2厅 | 66㎡ | 顶层 （共5层） | 南北向 | 2002年建 | 孟全 雁鸣山庄 仙鹤门-仙隐北路8号 满五 优质教育 200 万 30303元/㎡
仙林南外旁羊山湖花园 栖霞建设 花园洋房电梯入户 地 铁旁 双重验真 官方发布 房天下房源字典核验 3室2厅 | 126.01㎡ | 中层 （共8层） | 南北向 | 2015年建 | 孟全 星叶羊山湖花园 仙林-仙境路18号 满五 530 万 42060元/㎡
人气 天悦花园紫金山下 大三房 安静舒适,采光,视野无遮挡 3室2厅 | 108.61㎡ | 中层 （共6层） | 南北向 | 2018年建 | 易功瑞 天悦花园 马群-马群新街89-1号 满五唯一 满二 优质教育 距2号线马群站约504米 158 万 14547元/㎡
